Year,Season,Location_ID,Location_Name,Distance_km,WPI,BOD_mgL,COD_mgL,DO_mgL,FecalColiform_MPN100ml,pH,Nitrate_mgL
2020,Post-Monsoon,6,Bund Garden,24,33.69,20.2,52.57,6.2,8061,7.04,4.7
2020,Winter,6,Bund Garden,24,40.25,23.71,65.24,5.88,12672,7.05,6.53
2020,Summer,6,Bund Garden,24,58.56,34.3,87.89,4.61,27632,6.9,8.34
2021,Monsoon,6,Bund Garden,24,23.48,14.11,39.32,6.92,5448,7.1,4.69
2021,Post-Monsoon,6,Bund Garden,24,32.94,19.14,48.8,6.1,8892,7.12,4.67
2021,Winter,6,Bund Garden,24,43.97,29.4,79.9,5.55,15487,6.97,6.58
2021,Summer,6,Bund Garden,24,55.38,32.07,80.04,4.74,24859,6.8,8.43
2022,Monsoon,6,Bund Garden,24,18.4,9.92,26.24,7.53,3550,7.17,3.75
2022,Post-Monsoon,6,Bund Garden,24,33.29,20.05,53.9,6.37,8079,7.21,5.69
2022,Winter,6,Bund Garden,24,43.75,26.66,70.3,5.52,15038,6.9,6.24
2022,Summer,6,Bund Garden,24,62.56,37.22,96.03,4.35,29882,6.89,7.64
2023,Monsoon,6,Bund Garden,24,20.72,11.72,27.88,7.4,3202,7.23,3.46
2023,Post-Monsoon,6,Bund Garden,24,34.84,21.28,52.76,6.36,9464,6.9,4.97
2023,Winter,6,Bund Garden,24,49.42,30.45,78.47,4.94,19375,7.11,7.12
2023,Summer,6,Bund Garden,24,61.16,37.18,97.15,4.14,29827,6.78,8.32
2024,Monsoon,6,Bund Garden,24,23.59,15.05,40.6,6.82,4491,6.96,4.29
2024,Post-Monsoon,6,Bund Garden,24,34.74,22.6,52.97,6.7,9582,7.16,4.65
2024,Winter,6,Bund Garden,24,47.5,26.54,67.76,5.75,17952,6.95,7.13
2024,Summer,6,Bund Garden,24,61.72,36.17,94.77,4.9,30445,6.8,8.93
2025,Monsoon,6,Bund Garden,24,24.65,17.34,46.36,6.43,5679,7.04,4.11
2025,Post-Monsoon,6,Bund Garden,24,32.17,19.59,51.59,6.34,8488,7.24,5.09
2025,Winter,6,Bund Garden,24,45.6,28.53,76.56,4.94,16935,7.01,6.32
2025,Summer,6,Bund Garden,24,64.25,37.11,96.74,3.95,33027,6.65,7.99
2026,Monsoon,6,Bund Garden,24,25.97,15.01,37.04,6.04,5075,7.01,4.94
2026,Post-Monsoon,6,Bund Garden,24,36.72,21.16,59.52,6.22,10625,6.78,6.55
2026,Winter,6,Bund Garden,24,42.94,23.15,62.24,6.23,15439,7.03,6.45
2026,Summer,6,Bund Garden,24,63.2,37.9,99.1,4.11,31921,6.69,8.44
2020,Monsoon,7,Mundhwa,29,21.87,13.88,34.11,6.64,3915,7.32,4.08
2020,Post-Monsoon,7,Mundhwa,29,36.67,20.69,55.68,5.64,10647,7.09,4.92
2020,Winter,7,Mundhwa,29,55.36,30.45,77.97,4.72,23724,6.89,7.63
2020,Summer,7,Mundhwa,29,73.88,42.97,114.45,3.37,43452,6.67,10.14
2021,Monsoon,7,Mundhwa,29,27.01,16.91,42.56,6.41,5132,7.3,3.62
2021,Post-Monsoon,7,Mundhwa,29,40.09,22.97,61.51,5.61,13478,6.93,5.95
2021,Winter,7,Mundhwa,29,54.66,35.28,89.35,4.77,24222,6.89,7.47
2021,Summer,7,Mundhwa,29,74.35,42.96,111.4,3.58,45329,6.6,9.24
2022,Monsoon,7,Mundhwa,29,27.45,20.96,52.89,7.07,6864,7.07,4.58
2022,Post-Monsoon,7,Mundhwa,29,47.11,27.34,70.68,5.03,17245,6.86,6.04
2022,Winter,7,Mundhwa,29,58.49,33.02,86.32,3.94,27535,6.9,7.02
2022,Summer,7,Mundhwa,29,77.79,46.62,118.79,3.56,48613,6.55,10.31
2023,Monsoon,7,Mundhwa,29,29.28,18.22,48.45,6.17,6941,6.97,4.46
2023,Post-Monsoon,7,Mundhwa,29,41.11,23.51,63.6,5.95,13824,6.88,5.77
2023,Winter,7,Mundhwa,29,61.89,36.25,98.89,4.29,30739,6.75,8.49
2023,Summer,7,Mundhwa,29,77.06,45.45,120.08,2.87,46844,6.45,10.5
2024,Monsoon,7,Mundhwa,29,25.3,12.69,33.77,7.48,5119,7.23,4.08
2024,Post-Monsoon,7,Mundhwa,29,43.41,27.25,70.27,5.54,15233,6.9,6.7
2024,Winter,7,Mundhwa,29,58.81,33.21,87.42,4.11,27679,6.81,8.6
2024,Summer,7,Mundhwa,29,79.14,45.49,119.91,3.38,50382,6.61,9.84
2025,Monsoon,7,Mundhwa,29,25.55,15.6,39.34,6.66,5251,7.2,4.03
2025,Post-Monsoon,7,Mundhwa,29,45.1,26.9,65.99,5.06,16203,6.83,6.71
2025,Winter,7,Mundhwa,29,63.39,38.69,100.17,4.51,32220,6.73,8.3
2025,Summer,7,Mundhwa,29,77.62,44.11,115.03,3.12,48195,6.67,10.91
2026,Monsoon,7,Mundhwa,29,30.71,16.66,38.21,6.63,6860,7.07,4.1
2026,Post-Monsoon,7,Mundhwa,29,39.57,24.58,65.43,5.56,11231,6.95,5.94
2026,Winter,7,Mundhwa,29,56.12,33.14,86.13,4.75,25254,6.74,8.33
2026,Summer,7,Mundhwa,29,78.31,45.03,115.21,2.89,48616,6.6,11.25
2020,Monsoon,8,Kharadi,34,26.27,14.03,39.42,6.6,5186,7.24,3.85
2020,Post-Monsoon,8,Kharadi,34,50.77,30.94,79.47,5.59,20313,6.97,7.24
2020,Winter,8,Kharadi,34,65.95,40.62,105.68,3.66,35029,6.67,9.92
2020,Summer,8,Kharadi,34,82.84,47.01,122.6,2.3,54415,6.69,10.61
2021,Monsoon,8,Kharadi,34,27.97,18.19,49.67,6.76,6758,7.04,3.65
2021,Post-Monsoon,8,Kharadi,34,51.34,29.75,76.85,5.3,21363,6.93,8.24
2021,Winter,8,Kharadi,34,62.97,38.03,98.99,4.17,32488,6.82,8.83
2021,Summer,8,Kharadi,34,87.66,49.66,127.44,2.05,60485,6.73,10.97
2022,Monsoon,8,Kharadi,34,30.93,18.6,48.97,6.58,8082,7.03,4.63
2022,Post-Monsoon,8,Kharadi,34,49.68,28.95,78.48,5.17,20111,6.97,7.55
2022,Winter,8,Kharadi,34,66.91,36.86,96.64,3.62,35556,6.79,9.65
2022,Summer,8,Kharadi,34,87.5,50.59,134.94,2.45,62555,6.58,10.62
2023,Monsoon,8,Kharadi,34,33.61,21.06,57.34,6.35,8967,6.94,4.93
2023,Post-Monsoon,8,Kharadi,34,47.22,27.1,71.64,5.7,18038,6.81,6.89
2023,Winter,8,Kharadi,34,69.97,39.57,102.61,3.61,38771,6.77,9.34
2023,Summer,8,Kharadi,34,89.18,49.72,128.4,2.47,63431,6.68,11.5
2024,Monsoon,8,Kharadi,34,32.5,21.27,52.47,5.7,7684,7.2,4.62
2024,Post-Monsoon,8,Kharadi,34,56.07,31.99,83.54,5.04,26153,7.05,8.33
2024,Winter,8,Kharadi,34,69.98,41.38,109.14,3.44,38763,6.7,9.31
2024,Summer,8,Kharadi,34,87.57,51.21,135.06,2.4,62088,6.41,11.41
2025,Monsoon,8,Kharadi,34,30.31,15.87,41.1,6.34,8108,7.16,4.13
2025,Post-Monsoon,8,Kharadi,34,54.58,33.85,89.17,4.61,23349,6.82,8.09
2025,Winter,8,Kharadi,34,72.49,44.18,113.89,3.09,42109,6.5,9.86
2025,Summer,8,Kharadi,34,88.81,50.15,127.2,2.44,62836,6.39,10.22
2026,Monsoon,8,Kharadi,34,32.17,22.35,61.43,6.11,7979,7.13,4.36
2026,Post-Monsoon,8,Kharadi,34,50.91,31.15,83.44,4.91,20632,6.8,6.7
2026,Winter,8,Kharadi,34,67.5,39.68,105.0,3.53,37197,6.7,9.09
2026,Summer,8,Kharadi,34,87.69,46.6,122.93,2.58,61381,6.53,11.78
2020,Monsoon,9,Fursungi / Manjari,41,29.39,17.37,46.75,6.07,7058,6.97,4.76
2020,Post-Monsoon,9,Fursungi / Manjari,41,51.71,28.02,75.18,4.66,20987,6.9,7.78
2020,Winter,9,Fursungi / Manjari,41,67.76,39.36,103.19,3.96,36820,6.69,8.72
2020,Summer,9,Fursungi / Manjari,41,92.72,51.39,127.77,2.14,69221,6.24,11.62
2021,Monsoon,9,Fursungi / Manjari,41,35.85,24.8,64.52,5.77,10188,7.18,4.98
2021,Post-Monsoon,9,Fursungi / Manjari,41,51.36,29.52,74.85,4.94,21911,6.92,7.04
2021,Winter,9,Fursungi / Manjari,41,71.68,39.08,103.37,3.46,41013,7.0,9.75
2021,Summer,9,Fursungi / Manjari,41,93.4,52.73,139.39,2.0,69062,6.56,11.87
2022,Monsoon,9,Fursungi / Manjari,41,39.98,25.61,65.69,6.09,12821,7.09,6.04
2022,Post-Monsoon,9,Fursungi / Manjari,41,52.79,30.07,80.24,4.7,22094,6.78,7.55
2022,Winter,9,Fursungi / Manjari,41,79.67,44.22,115.02,3.35,50744,6.65,10.03
2022,Summer,9,Fursungi / Manjari,41,98.0,55.62,146.58,2.0,78126,6.48,12.92
2023,Monsoon,9,Fursungi / Manjari,41,36.06,21.3,56.06,5.89,10485,7.17,4.82
2023,Post-Monsoon,9,Fursungi / Manjari,41,58.18,35.98,93.31,3.79,26777,6.95,7.97
2023,Winter,9,Fursungi / Manjari,41,72.6,41.17,108.72,3.58,42042,6.64,9.52
2023,Summer,9,Fursungi / Manjari,41,96.5,57.5,148.86,2.11,75262,6.53,12.36
2024,Monsoon,9,Fursungi / Manjari,41,36.81,22.21,55.94,6.02,10252,7.15,5.19
2024,Post-Monsoon,9,Fursungi / Manjari,41,56.2,33.33,86.14,4.74,25028,6.93,7.07
2024,Winter,9,Fursungi / Manjari,41,75.9,46.65,119.29,2.98,46346,6.66,10.28
2024,Summer,9,Fursungi / Manjari,41,98.0,56.85,150.03,1.76,76711,6.49,13.71
2025,Monsoon,9,Fursungi / Manjari,41,35.67,20.15,54.6,5.97,9090,7.13,5.01
2025,Post-Monsoon,9,Fursungi / Manjari,41,55.77,33.17,86.62,4.81,24664,6.89,7.56
2025,Winter,9,Fursungi / Manjari,41,77.84,45.74,117.05,3.38,48206,6.7,10.52
2025,Summer,9,Fursungi / Manjari,41,98.0,55.56,143.76,1.63,76680,6.5,11.95
2026,Monsoon,9,Fursungi / Manjari,41,33.52,18.83,50.86,6.67,8934,7.05,5.06
2026,Post-Monsoon,9,Fursungi / Manjari,41,59.14,33.14,86.64,4.65,28229,6.83,8.6
2026,Winter,9,Fursungi / Manjari,41,69.56,41.27,105.99,3.08,38963,6.84,9.28
2026,Summer,9,Fursungi / Manjari,41,98.0,58.32,154.26,2.13,77203,6.43,11.96
2020,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,26.38,15.25,43.99,6.6,5630,7.19,4.19
2020,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,46.24,26.5,69.29,5.04,16443,6.88,6.53
2020,Winter,10,Confluence with Bhima River (Downstream Exit),52,55.93,31.72,79.66,4.56,24270,6.92,7.75
2020,Summer,10,Confluence with Bhima River (Downstream Exit),52,71.36,40.78,104.52,3.6,41403,6.5,9.62
2021,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,27.41,18.08,47.43,6.36,5850,7.05,4.83
2021,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,43.31,28.67,74.42,5.26,14251,6.79,5.41
2021,Winter,10,Confluence with Bhima River (Downstream Exit),52,59.38,35.42,88.93,4.61,27964,6.82,8.93
2021,Summer,10,Confluence with Bhima River (Downstream Exit),52,79.49,45.32,116.05,2.29,50192,6.58,10.05
2022,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,28.29,17.68,45.52,6.32,6487,7.16,3.85
2022,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,48.05,28.28,73.57,5.35,18584,7.01,6.91
2022,Winter,10,Confluence with Bhima River (Downstream Exit),52,58.89,34.93,88.53,4.41,27726,6.79,8.0
2022,Summer,10,Confluence with Bhima River (Downstream Exit),52,74.8,42.31,110.19,3.31,44240,6.78,9.54
2023,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,31.27,19.84,50.29,6.84,7223,7.18,5.25
2023,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,43.19,27.84,71.88,5.56,15051,6.95,6.59
2023,Winter,10,Confluence with Bhima River (Downstream Exit),52,62.87,33.96,90.9,3.6,32138,6.88,8.0
2023,Summer,10,Confluence with Bhima River (Downstream Exit),52,79.09,43.84,113.55,2.87,50429,6.74,11.19
2024,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,27.62,16.88,40.52,6.32,6587,7.29,3.7
2024,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,43.68,25.98,68.11,5.2,15473,6.92,6.23
2024,Winter,10,Confluence with Bhima River (Downstream Exit),52,62.65,36.47,93.95,4.08,31358,6.74,8.39
2024,Summer,10,Confluence with Bhima River (Downstream Exit),52,84.64,49.39,127.82,2.78,57139,6.67,11.34
2025,Monsoon,10,Confluence with Bhima River (Downstream Exit),52,28.92,18.58,45.17,6.14,6093,7.13,5.34
2025,Post-Monsoon,10,Confluence with Bhima River (Downstream Exit),52,50.98,31.0,81.6,4.39,20520,6.81,6.81
